id,title,rep_descript,prep_time,cook_time,category_id,cuisine_id,author_id,views
1, Ebiten maki,Non et suscipit maxime.,15,30,12,14,7759,3569
2, Poutine,Dolorem aspernatur ut amet.,15,30,12,1,712,4763
3, Bunny Chow,Sunt rerum eum enim.,15,30,11,5,8657,14911
4, Stinky Tofu,Maxime quia itaque omnis.,15,30,3,6,9781,16349
5, Bruschette with Tomato,Molestiae debitis illo earum.,15,30,16,9,3897,1251
6, Poutine,Laudantium id aspernatur qui.,15,30,15,9,191,135
7, Salmon Nigiri,Doloremque dolores eius esse.,15,30,4,14,8446,15523
8, Fish and Chips,Doloremque aut eos accusamus.,15,30,13,17,3422,396
9, Mushroom Risotto,Eum adipisci explicabo quia.,15,30,7,11,2201,3400
10, Pasta Carbonara,Qui corporis illum reiciendis.,15,30,4,17,7699,18592
11, Cauliflower Penne,Alias ipsum dicta molestiae.,15,30,14,20,7133,18517
12, Tuna Sashimi,Consectetur sapiente vero provident.,15,30,1,15,3509,823
13, Kebab,Voluptatem quia a est.,15,30,20,11,6208,7997
14, Caprese Salad,Veritatis tempora harum nihil.,15,30,10,14,1006,7305
15, Ricotta Stuffed Ravioli,Voluptate eos natus excepturi.,15,30,5,8,6599,10853
16, Lasagne,Repellendus quas officia ipsum.,15,30,11,11,5842,15291
17, Barbecue Ribs,Qui rem voluptatem amet.,15,30,7,15,3953,18277
18, Som Tam,Quasi id dolorem unde.,15,30,11,1,8571,2702
19, Peking Duck,Cupiditate et odio non.,15,30,20,9,3244,11890
20, Kebab,Nihil temporibus excepturi exercitationem.,15,30,15,16,716,14225
21, Vegetable Soup,Voluptatem voluptatem porro qui.,15,30,14,10,7432,4048
22, Poke,Praesentium in assumenda ratione.,15,30,12,16,6485,6206
23, Poke,Enim eius adipisci eum.,15,30,5,13,8532,464
24, Meatballs with Sauce,Voluptatem voluptates nam qui.,15,30,2,17,3367,15272
25, French Toast,Architecto hic modi maiores.,15,30,2,16,9808,1983
26, Caprese Salad,Mollitia officiis tempore qui.,15,30,13,12,6203,6437
27, Risotto with Seafood,Incidunt sed asperiores provident.,15,30,1,9,8072,2717
28, Salmon Nigiri,Eius iusto et nihil.,15,30,11,1,7026,18504
29, Mushroom Risotto,Eum qui ut et.,15,30,9,6,6776,2905
30, Peking Duck,Consequuntur deleniti sed alias.,15,30,1,16,4153,13875
31, Linguine with Clams,Nisi rerum ducimus sunt.,15,30,2,5,2605,1149
32, Chicken Milanese,Tempore possimus omnis autem.,15,30,8,6,4185,11952
33, Cauliflower Penne,Voluptatem tempora sint dolores.,15,30,6,16,3778,11034
